Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Spik,,6042–6042,Roermond,Limburg
Spinolaberg,,4661–4661,Bergen op Zoom,Noord-Brabant
Spitsbergen,,9636–9636,Midden-Groningen,Groningen
Spitsendijk,,8459–8459,Heerenveen,Fryslân
Spoelwijk,,2771–2771,Alphen aan den Rijn,Zuid-Holland
Sponturfwijk,,7707–7707,Hardenberg,Overijssel
Spoolde,,8041–8041,Zwolle,Overijssel
Spoorbuurt,,1761–1761,Hollands Kroon,Noord-Holland
Spoordonk,,5688–5688,Oirschot,Noord-Brabant
Sprang,,5161–5161,Waalwijk,Noord-Brabant
Sprang-Capelle,2596,5161–5161,Waalwijk,Noord-Brabant
Sprangsevaart,,5171–5171,Loon op Zand,Noord-Brabant
Sprong / Wieuwens,,8835–8835,Leeuwarden,Fryslân
Sprundel,2583,4714–4714,Rucphen,Noord-Brabant
Spui,1136,4539–4539,Terneuzen,Zeeland
Spurkt,,5995–5995,Peel en Maas,Limburg
St. Willebrord,2584,4711–4711,Rucphen,Noord-Brabant
St.-Annaparochie / Sint-Anne,3331,9076–9076,Waadhoeke,Fryslân
St.-Jacobiparochie / Sint Jabik,3332,9079–9079,Waadhoeke,Fryslân
Stad aan 't Haringvliet,3146,3243–3243,Goeree-Overflakkee,Zuid-Holland
Stad van Gerwen,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Stadse Dijk,,4794–4794,Moerdijk,Noord-Brabant
Stadskanaal,3074,9501–9503,Stadskanaal,Groningen
Stadterij,,7903–7903,Hoogeveen,Drenthe
Stakenborg,,9545–9545,Westerwolde,Groningen
Stampersgat,1247,4754–4754,Halderberge,Noord-Brabant
Standdaarbuiten,1324,4758–4758,Moerdijk,Noord-Brabant
De Stapel,,7957–7957,De Wolden,Drenthe
Staphorst,1046,7951–7951,Staphorst,Overijssel
Starnmeer,3555,1488–1488,Alkmaar,Noord-Holland
Startenhuizen,3481,9924–9925,Het Hogeland,Groningen
Startenhuizen,3452,9924–9924,Loppersum,Groningen
Startwijk,,5835–5835,Boxmeer,Noord-Brabant
Statenboom,,4567–4567,Hulst,Zeeland
Statendam,,4931–4931,Geertruidenberg,Noord-Brabant
Stationsbuurt,,4411–4411,Reimerswaal,Zeeland
Stavenisse,2075,4696–4696,Tholen,Zeeland
Staverden,,3852–3852,Ermelo,Gelderland
Stavoren / Starum,1969,8715–8715,Súdwest-Fryslân,Fryslân
Stedum,3453,9921–9921,Loppersum,Groningen
De Steeg,1502,6994–6994,Rheden,Gelderland
Steeg,,5975–5975,Horst aan de Maas,Limburg
De Steegh,,5973–5973,Horst aan de Maas,Limburg
Steelhoven,,4921–4921,Drimmelen,Noord-Brabant
Steenbergen,,7921–7921,De Wolden,Drenthe
Steenbergen,3634,9307–9307,Noordenveld,Drenthe
Steenbergen,1405,4651–4652,Steenbergen,Noord-Brabant
Steendam,1359,9629–9629,Midden-Groningen,Groningen
Steenderen,1526,7221–7221,Bronckhorst,Gelderland
Steenenkamer,,3882–3882,Putten,Gelderland
Steenenkamer,2608,7439–7439,Voorst,Gelderland
Steenenkruis,,4691–4691,Tholen,Zeeland
Steenhoven,,4508–4508,Sluis,Zeeland
Steenoven,,4849–4849,Oosterhout,Noord-Brabant
Steenoven,,5768–5768,Peel en Maas,Limburg
Steenovens,,4571–4571,Terneuzen,Zeeland
Steenpaal,,4721–4721,Rucphen,Noord-Brabant
Steenplaats,,3291–3291,Hoeksche Waard,Zuid-Holland
Steensel,2995,5524–5524,Eersel,Noord-Brabant
Steenvak / Stienfek,,9131–9131,Noardeast-Fryslân,Fryslân
Steenwijk,2713,8331–8333,Steenwijkerland,Overijssel
Steenwijkerwold,2714,8341–8341,Steenwijkerland,Overijssel
Steenwijksmoer,,7741–7741,Coevorden,Drenthe
Stegen,,5721–5721,Asten,Noord-Brabant
Stegeren,2553,7737–7737,Ommen,Overijssel
Stegerveld,,7737–7737,Ommen,Overijssel
Steggerda,1741,8395–8395,Weststellingwerf,Fryslân
Stein,,2851–2851,Krimpenerwaard,Zuid-Holland
Stein,1913,6171–6171,Stein,Limburg
Stellendam,2933,3251–3251,Goeree-Overflakkee,Zuid-Holland
Stenenheul,,4287–4287,Altena,Noord-Brabant
Stepelo,,7482–7482,Haaksbergen,Overijssel
Sterkenburg,,3972–3972,Utrechtse Heuvelrug,Utrecht
Sterksel,1316,6029–6029,Heeze-Leende,Noord-Brabant
De Sterre,,4574–4574,Terneuzen,Zeeland
Sterreschans,,6686–6686,Lingewaard,Gelderland
Steurgat,,4251–4251,Altena,Noord-Brabant
Stevensbeek,2084,5844–5844,Sint Anthonis,Noord-Brabant
Stevensweert,1922,6107–6107,Maasgouw,Limburg
Stevert,,5524–5524,Eersel,Noord-Brabant
Steyl,1475,5935–5935,Venlo,Limburg
Stieltjeskanaal,2163,7756–7756,Coevorden,Drenthe
Stiem,,9133–9133,Noardeast-Fryslân,Fryslân
Stiens,3230,9051–9051,Leeuwarden,Fryslân
Het Stift,,7595–7595,Dinkelland,Overijssel
Stipdonk,,5715–5715,Someren,Noord-Brabant
Stiphout,,5708–5708,Helmond,Noord-Brabant
Stitswerd,3482,9999–9999,Het Hogeland,Groningen
Stobben,,9545–9545,Westerwolde,Groningen
Stokhem,,6321–6321,Gulpen-Wittem,Limburg
Stokkelaarsbrug,,1391–1391,De Ronde Venen,Utrecht
Stokkelen,,5521–5521,Eersel,Noord-Brabant
Stokkum,,7475–7475,Hof van Twente,Overijssel
Stokkum,2210,7039–7039,Montferland,Gelderland
Stokske,,5066–5066,Oisterwijk,Noord-Brabant
Stokt,,5872–5872,Horst aan de Maas,Limburg
Stolpen,,1751–1751,Schagen,Noord-Holland
Stolpervlotbrug,,1751–1751,Schagen,Noord-Holland
Stolwijk,2388,2821–2821,Krimpenerwaard,Zuid-Holland
Stolwijkersluis,,2808–2851,Gouda,Zuid-Holland
Stommeveld,,6243–6243,Meerssen,Limburg
Stompetoren,1890,1841–1841,Alkmaar,Noord-Holland
Stompwijk,,2266–2266,Leidschendam-Voorburg,Zuid-Holland
Stoof,,4751–4751,Halderberge,Noord-Brabant
Stootshorn,,9635–9635,Midden-Groningen,Groningen
Stoppeldijkveer,,4543–4543,Hulst,Zeeland
Stork,,9919–9919,Loppersum,Groningen
t Stort,,9965–9965,Het Hogeland,Groningen
Stoutenburg,2639,3835–3835,Leusden,Utrecht
Stoutenburg Noord,1667,3836–3836,Amersfoort,Utrecht
Stox,,5981–5981,Peel en Maas,Limburg
Straat,,6044–6044,Roermond,Limburg
Strabrecht,,5591–5591,Heeze-Leende,Noord-Brabant
Stramproy,1975,6039–6039,Weert,Limburg
Strand,,8749–8749,Súdwest-Fryslân,Fryslân
Straten,,5688–5688,Oirschot,Noord-Brabant
Strateris,,6031–6031,Nederweert,Limburg
Streefkerk,1805,2959–2959,Molenlanden,Zuid-Holland
De Streek,,9988–9988,Het Hogeland,Groningen
Streek,,9511–9511,Aa en Hunze,Drenthe
Strepen,,5406–5406,Uden,Noord-Brabant
Streukel,,8061–8061,Zwartewaterland,Overijssel
Strijbeek,3435,4856–4856,Alphen-Chaam,Noord-Brabant
Strijen,2797,3291–3291,Hoeksche Waard,Zuid-Holland
Strijenham,,4693–4693,Tholen,Zeeland
Strijensas,2798,3292–3292,Hoeksche Waard,Zuid-Holland
Strijp,,5735–5735,Laarbeek,Noord-Brabant
Strijp,,2285–2285,Rijswijk,Zuid-Holland
Strikberg,,4847–4847,Breda,Noord-Brabant
Stroe,1059,3776–3776,Barneveld,Gelderland
Stroet,,1744–1744,Schagen,Noord-Holland
Stroobos / Strobos,3180,9871–9872,Achtkarspelen,Fryslân
Stroodorp,,4493–4493,Noord-Beveland,Zeeland
Stroodorpe,,4541–4541,Terneuzen,Zeeland
Strooiendorp,,4765–4765,Moerdijk,Noord-Brabant
Strooienstad,,4589–4589,Hulst,Zeeland
Stroopuit,,4508–4508,Sluis,Zeeland
Strubben,,6088–6088,Leudal,Limburg
Strucht,,6305–6305,Valkenburg aan de Geul,Limburg
Struikberg,,7958–7958,De Wolden,Drenthe
Strype,,3235–3235,Westvoorne,Zuid-Holland
Stuifakker,,3235–3235,Westvoorne,Zuid-Holland
Stuifzand,1819,7934–7934,Hoogeveen,Drenthe
Stuifzand,3023,7938–7938,Midden-Drenthe,Drenthe
Stuivezand,,4921–4921,Drimmelen,Noord-Brabant
Stuivezand,,4882–4882,Zundert,Noord-Brabant
De Stuw,,7921–7921,De Wolden,Drenthe
Sumar / Suameer,2453,9262–9262,Tytsjerksteradiel,Fryslân
Sumarreheide / Suameerderheide,,9262–9262,Tytsjerksteradiel,Fryslân
Surhuisterveen / Surhústerfean,3181,9231–9231,Achtkarspelen,Fryslân
Surhuizum / Surhuzum,3182,9283–9283,Achtkarspelen,Fryslân
Surhuizumer Mieden / Surhuzumer Mieden,,9283–9283,Achtkarspelen,Fryslân
Susteren,2045,6114–6114,Echt-Susteren,Limburg
Suttum,,9891–9891,Westerkwartier,Groningen
Suwâld / Suawoude,2448,9265–9265,Tytsjerksteradiel,Fryslân
Swaenwert,,8636–8636,Súdwest-Fryslân,Fryslân
Swalmen,2283,6071–6071,Roermond,Limburg
Swartbroek,,6005–6005,Weert,Limburg
Sweikhuizen,2104,6174–6174,Beekdaelen,Limburg
Swichum,1204,9087–9087,Leeuwarden,Fryslân
Swier,,6363–6363,Beekdaelen,Limburg
Swifterbant,2431,8255–8255,Dronten,Flevoland
Swolgen,1859,5866–5866,Horst aan de Maas,Limburg
Sytebuorren,,9216–9216,Smallingerland,Fryslân
Sythuizen / Sythuzen,,8468–8468,De Fryske Marren,Fryslân
Taarlo,2918,9485–9485,Tynaarlo,Drenthe
Tappersheul,,3464–3464,Oudewater,Utrecht
Tasdijk,,4585–4585,Hulst,Zeeland
Teckop,,3471–3471,Woerden,Utrecht
Teeffelen,3472,5395–5395,Oss,Noord-Brabant
Teerns / Tearns,1203,9085–9085,Leeuwarden,Fryslân
Teersdijk,,6603–6603,Wijchen,Gelderland
Tegelen,1474,5931–5932,Venlo,Limburg
Teijeburen / Teyebuorren,,9145–9145,Noardeast-Fryslân,Fryslân
Teijlingen,,2215–2215,Teylingen,Zuid-Holland
Telgt,,3853–3853,Ermelo,Gelderland
Tempel,,2811–2811,Bodegraven-Reeuwijk,Zuid-Holland
Terband / Terbant,2182,8449–8449,Heerenveen,Fryslân
Terblijt (?),,6325–6325,Valkenburg aan de Geul,Limburg
Terborg,1577,7061–7061,Oude IJsselstreek,Gelderland
Terbregge (?),,3056–3056,Rotterdam,Zuid-Holland
Terdiek,,1733–1733,Hollands Kroon,Noord-Holland
Tereyken,,5425–5425,Gemert-Bakel,Noord-Brabant
Tergrêft / Tergracht,,9178–9178,Noardeast-Fryslân,Fryslân
Tergrêft / Tergracht,,9178–9178,Tytsjerksteradiel,Fryslân
Terhagen,,6181–6181,Stein,Limburg
Terheijden,2578,4844–4844,Drimmelen,Noord-Brabant
Terheijl,,9312–9312,Noordenveld,Drenthe
Terhofstede,,4525–4525,Sluis,Zeeland
Terhole,3096,4583–4583,Hulst,Zeeland
Terhorne / Terherne,2537,8493–8493,De Fryske Marren,Fryslân
Terhorst,,6262–6262,Eijsden-Margraten,Limburg
Terkaple,2510,8542–8542,De Fryske Marren,Fryslân
Terlet,,6891–6891,Rozendaal,Gelderland
Terlinden,,6255–6255,Eijsden-Margraten,Limburg
Termaar,,6269–6269,Eijsden-Margraten,Limburg
Termaar,,6311–6311,Voerendaal,Limburg
Termoors,,6311–6311,Voerendaal,Limburg
Termunten,3242,9947–9947,Delfzijl,Groningen
Termunterzijl,3243,9948–9948,Delfzijl,Groningen
Ternaard,3411,9145–9145,Noardeast-Fryslân,Fryslân
Terneuzen,1137,4531–4538,Terneuzen,Zeeland
Teroele,2511,8524–8524,De Fryske Marren,Fryslân
Terover,,5131–5131,Alphen-Chaam,Noord-Brabant
Terpoorten,,6285–6285,Gulpen-Wittem,Limburg
Terschuur,3598,3784–3784,Barneveld,Gelderland
Tersoal,,9014–9014,Súdwest-Fryslân,Fryslân
Tersoal,2538,9014–9014,Súdwest-Fryslân,Fryslân
Terstraten,,6361–6361,Beekdaelen,Limburg
Tervaten,,4481–4481,Goes,Zeeland
Tervoorst,,6361–6361,Beekdaelen,Limburg
Tervoort,,4854–4854,Breda,Noord-Brabant
Terwispel,3355,8407–8407,Opsterland,Fryslân
Terwisscha,,8426–8426,Ooststellingwerf,Fryslân
Terwolde,2609,7396–7396,Voorst,Gelderland
Terziet,,6285–6285,Gulpen-Wittem,Limburg
Teteringen,3623,4847–4847,Breda,Noord-Brabant
Teuge,2610,7395–7395,Voorst,Gelderland
Theetuin,,5688–5688,Oirschot,Noord-Brabant
Themaat,,3455–3455,Utrecht,Utrecht
Thesinge,1832,9797–9797,Groningen,Groningen
Tholen,2071,4691–4691,Tholen,Zeeland
Thorn,1916,6017–6017,Maasgouw,Limburg
Thull,,6365–6365,Beekdaelen,Limburg
Thuserhof,,6044–6044,Roermond,Limburg
Tibma / De Tibben,,9131–9131,Noardeast-Fryslân,Fryslân
Tichelwurk,,9051–9051,Leeuwarden,Fryslân
Tiel,3601,4001–4007,Tiel,Gelderland
Tielse Hoeve,,5271–5271,Sint-Michielsgestel,Noord-Brabant
Tiendeveen,1820,7936–7937,Hoogeveen,Drenthe
Tiendeveen,3024,7937–7938,Midden-Drenthe,Drenthe
Tiengeboden,,6576–6576,Berg en Dal,Gelderland
Tiengemeten,,3267–3284,Hoeksche Waard,Zuid-Holland
Tienhoven,2065,3612–3612,Stichtse Vecht,Utrecht
Tienhoven,,4121–4121,Vijfheerenlanden,Utrecht
Tienhoven aan de Lek,2107,4235–4235,Vijfheerenlanden,Utrecht
Tienray,1860,5865–5865,Horst aan de Maas,Limburg
Tiggelt,,4891–4891,Zundert,Noord-Brabant
Tiggeltscheberg,,4891–4891,Zundert,Noord-Brabant
Tijnje / De Tynje,3356,8406–8406,Opsterland,Fryslân
De Tike,3276,9219–9219,Smallingerland,Fryslân
Tilburen / Tilbuorren,,9125–9125,Noardeast-Fryslân,Fryslân
Tilburg,1043,5001–5049,Tilburg,Noord-Brabant
Tilligte,1416,7634–7634,Dinkelland,Overijssel
Timmereind,,5581–5581,Waalre,Noord-Brabant
Tinallinge,2473,9954–9954,Het Hogeland,Groningen
Tinte,1211,3234–3234,Westvoorne,Zuid-Holland
De Tippe,,7705–7705,De Wolden,Drenthe
Tirns / Turns,3591,8632–8632,Súdwest-Fryslân,Fryslân
Tjaard,,9088–9088,Leeuwarden,Fryslân
Tjabbesstreek,,9697–9697,Westerwolde,Groningen
Tjalhuizum / Tsjalhuzum,2422,8772–8772,Súdwest-Fryslân,Fryslân
Tjalleberd / Tsjalbert,2184,8458–8458,Heerenveen,Fryslân
Tjamsweer,,9901–9901,Appingedam,Groningen
Tjeintgum / Tsjeintgum,,9022–9022,Leeuwarden,Fryslân
Tjeppenboer,,8842–8842,Waadhoeke,Fryslân
Tjerkgaast / Tsjerkgaast,2512,8522–8522,De Fryske Marren,Fryslân
Tjerkwerd / Tsjerkwert,2324,8765–8765,Súdwest-Fryslân,Fryslân
Tjoene,,7431–7431,Deventer,Overijssel
Tjuchem,1360,9939–9939,Midden-Groningen,Groningen
Tolbert,2345,9356–9356,Westerkwartier,Groningen
Toldijk,1531,7227–7227,Bronckhorst,Gelderland
Tolkamer,2981,6916–6916,Zevenaar,Gelderland
Tollebeek,1279,8309–8309,Noordoostpolder,Flevoland
Tommel,,5111–5111,Baarle-Nassau,Noord-Brabant
Tonden,1110,6975–6975,Brummen,Gelderland
Tongeren,,5282–5282,Boxtel,Noord-Brabant
Tongeren,,8162–8162,Epe,Gelderland
Tongerlo,,5975–5975,Horst aan de Maas,Limburg
Tongerlo,,5993–5993,Peel en Maas,Limburg
Tonnekreek,,4791–4791,Moerdijk,Noord-Brabant
Tonsel,,3851–3851,Ermelo,Gelderland
Toom,,6021–6021,Cranendonck,Noord-Brabant
Toornwerd,3454,9994–9994,Loppersum,Groningen
Topweer,,9865–9865,Westerkwartier,Groningen
Torenveen,,9511–9511,Aa en Hunze,Drenthe
Toterfout,,5507–5507,Veldhoven,Noord-Brabant
Toven,,5447–5447,Boxmeer,Noord-Brabant
Tragel,,4507–4507,Sluis,Zeeland
Tranendal,,9678–9678,Oldambt,Groningen
Den Treek,,3832–3832,Leusden,Utrecht
Tregelaar,,5688–5688,Oirschot,Noord-Brabant
Trent,,5411–5411,Landerd,Noord-Brabant
Tricht,3531,4196–4196,West Betuwe,Gelderland
Triemen / De Trieme,3314,9296–9296,Noardeast-Fryslân,Fryslân
Trijehuzen,,8734–8734,Súdwest-Fryslân,Fryslân
Trimpert,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Trintelen,,6287–6287,Gulpen-Wittem,Limburg
Tripscompagnie,2276,9633–9633,Midden-Groningen,Groningen
Tripscompagnie,,9631–9631,Veendam,Groningen
Tritzum / Tritsum,,8804–8804,Waadhoeke,Fryslân
Tronde,,8424–8424,Ooststellingwerf,Fryslân
Trophorne,,8581–8581,De Fryske Marren,Fryslân
Trutjeshoek,,8097–8097,Oldebroek,Gelderland
Trutjeshoek (?),,8278–8278,Kampen,Overijssel
Tsienzerbuorren,,9012–9012,Leeuwarden,Fryslân
Tsjerkebuorren,,9021–9021,Súdwest-Fryslân,Fryslân
Tubbergen,1294,7651–7651,Tubbergen,Overijssel
Tuil,3366,4176–4176,West Betuwe,Gelderland
Tuindorp,,5856–5856,Bergen,Limburg
Tuitjenhorn,3292,1747–1747,Schagen,Noord-Holland
Tuk,2715,8334–8334,Steenwijkerland,Overijssel
Tull en 't Waal,2055,3999–3999,Houten,Utrecht
Tungelroy,,6005–6005,Weert,Limburg
Turkeije / Turkeye (?),,4508–4508,Sluis,Zeeland
Tusschen de Bruggen,,6063–6063,Roerdalen,Limburg
Tusschenloegen,,9636–9636,Midden-Groningen,Groningen
Tussenklappen,,9649–9649,Midden-Groningen,Groningen
Tussenlanen,,2861–2861,Krimpenerwaard,Zuid-Holland
Tusveld,,7627–7627,Almelo,Overijssel
De Tuut,,6629–6629,West Maas en Waal,Gelderland
Tuuthees,,5821–5827,Boxmeer,Noord-Brabant
Tweede Dwarsdiep,,9515–9515,Aa en Hunze,Drenthe
Tweede Tol,,3316–3316,Dordrecht,Zuid-Holland
Tweehuizen,,9909–9909,Delfzijl,Groningen
Tweesluizen,,4016–4016,Buren,Gelderland
Twekkelo,,7547–7547,Enschede,Overijssel
Twello,2611,7391–7391,Voorst,Gelderland
Twijzel / Twizel,3183,9286–9286,Achtkarspelen,Fryslân
Twijzelerheide / Twizelerheide,3184,9287–9287,Achtkarspelen,Fryslân
Twisk,3157,1676–1676,Medemblik,Noord-Holland
Tynaarlo,2919,9482–9482,Tynaarlo,Drenthe
Tytsjerk / Tietjerk,2447,9255–9255,Tytsjerksteradiel,Fryslân
Tzum / Tsjom,1362,8804–8804,Waadhoeke,Fryslân
Tzummarum / Tsjummearum,1377,8851–8851,Waadhoeke,Fryslân
Ubach over Worms,3055,6371–6374,Landgraaf,Limburg
Ubach over Worms,,6374–6374,Landgraaf,Limburg
Ubachsberg,,6367–6367,Voerendaal,Limburg
Ubbena,2395,9492–9492,Assen,Drenthe
Ubbergen,2879,6574–6574,Berg en Dal,Gelderland
Ubroek,,5928–5928,Venlo,Limburg
Uddel,3562,3888–3888,Apeldoorn,Gelderland
Uden,1847,5401–5406,Uden,Noord-Brabant
Udenhout,1045,5071–5071,Tilburg,Noord-Brabant
Uffelsen,,6012–6012,Leudal,Limburg
Uffelte,3121,7975–7975,Westerveld,Drenthe
Ugchelen,2256,7339–7339,Apeldoorn,Gelderland
Uilesprong / De Ulesprong,,8406–8406,Opsterland,Fryslân
Uitdam,1947,1154–1154,Waterland,Noord-Holland
Uiteinde,,9905–9905,Delfzijl,Groningen
Uiteinde,,9216–9216,Smallingerland,Fryslân
Uiterburen,,9636–9636,Midden-Groningen,Groningen
Uitgeest,2755,1911–1911,Uitgeest,Noord-Holland
Uithoorn,2062,1421–1423,Uithoorn,Noord-Holland
Uithuizen,3483,9981–9981,Het Hogeland,Groningen
Uithuizermeeden,3484,9982–9982,Het Hogeland,Groningen
Uitweg,,3412–3412,Lopik,Utrecht
Uitwellingerga / Twellingea,2423,8624–8624,Súdwest-Fryslân,Fryslân
Uitwierde,,9931–9931,Delfzijl,Groningen
Uitwijk,3304,4288–4288,Altena,Noord-Brabant
Ulestraten,1465,6235–6235,Meerssen,Limburg
Ulft,1580,7071–7071,Oude IJsselstreek,Gelderland
Ulfterhoek,,5975–5975,Horst aan de Maas,Limburg
Ulicoten,2884,5113–5113,Baarle-Nassau,Noord-Brabant
Ullingen,,5846–5846,Sint Anthonis,Noord-Brabant
Ulrum,3425,9971–9971,Het Hogeland,Groningen
Ulsda,,9686–9686,Oldambt,Groningen
Ulvend,,6255–6255,Eijsden-Margraten,Limburg
Ulvenhout,1704,4851–4851,Breda,Noord-Brabant
Ulvenhout AC,3436,4858–4858,Alphen-Chaam,Noord-Brabant
Ungabuurt,,8871–8871,Harlingen,Fryslân
Uppel,,4286–4286,Altena,Noord-Brabant
Ureterp / Oerterp,3357,9247–9247,Opsterland,Fryslân
Urk,2143,8321–8322,Urk,Flevoland
Urkhoven,,5641–5641,Eindhoven,Noord-Brabant
Urmond,1915,6129–6129,Stein,Limburg
Ursem,,1646–1646,Alkmaar,Noord-Holland
Ursem,1191,1645–1645,Koggenland,Noord-Holland
Usquert,3485,9988–9988,Het Hogeland,Groningen
Usselo,,7548–7548,Enschede,Overijssel
Utrecht,3295,3511–3585,Utrecht,Utrecht
Vaals,1429,6291–6291,Vaals,Limburg
Vaareind,,4839–4839,Breda,Noord-Brabant
Vaarle,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Vaars(ch)e Hoef (?),,5715–5715,Someren,Noord-Brabant
Vaart,,5106–5106,Dongen,Noord-Brabant
Vaartwijk,,4571–4571,Terneuzen,Zeeland
Vaassen,1345,8171–8172,Epe,Gelderland
Vaesrade,,6361–6361,Beekdaelen,Limburg
(De) Val (?),,4543–4543,Terneuzen,Zeeland
(De) Val (?),,4543–4543,Terneuzen,Zeeland
Valburg,1872,6675–6675,Overbetuwe,Gelderland
Valeiskreek,,4529–4529,Sluis,Zeeland
Valenberg,,6611–6611,Heumen,Gelderland
De Valk,,6741–6741,Ede,Gelderland
Valkenburg,1709,2235–2235,Katwijk,Zuid-Holland
Valkenburg,1718,6301–6301,Valkenburg aan de Geul,Limburg
Valkenheide,,3953–3953,Utrechtse Heuvelrug,Utrecht
Valkenswaard,1100,5551–5555,Valkenswaard,Noord-Brabant
Valom,,9981–9982,Het Hogeland,Groningen
Valsteeg,,7751–7751,Coevorden,Drenthe
Valthe,1800,7872–7872,Borger-Odoorn,Drenthe
Valtherblokken,,7876–7876,Borger-Odoorn,Drenthe
Valthermond,1801,7876–7876,Borger-Odoorn,Drenthe
Valthermussel,,7877–7877,Borger-Odoorn,Drenthe
Van Ewijcksluis,,1761–1761,Hollands Kroon,Noord-Holland
Varik,3367,4064–4064,West Betuwe,Gelderland
Varsen,,7731–7731,Ommen,Overijssel
Varssel,,7255–7255,Bronckhorst,Gelderland
Varsselder,1582,7076–7076,Oude IJsselstreek,Gelderland
Varsseveld,1574,7051–7051,Oude IJsselstreek,Gelderland
Vasse,1295,7661–7661,Tubbergen,Overijssel
Vebenabos,,4371–4371,Veere,Zeeland
De Vecht,,7396–7396,Voorst,Gelderland
Vechten,,3981–3981,Bunnik,Utrecht
Veecaten,,8275–8275,Kampen,Overijssel
Veele,,9541–9541,Westerwolde,Groningen
Veelerveen,2234,9566–9566,Westerwolde,Groningen
Veen,1956,4264–4264,Altena,Noord-Brabant
Het Veen / 't Veen,,9636–9636,Midden-Groningen,Groningen
Veendam,1240,9641–9646,Veendam,Groningen
Veendijk,,7971–7971,Westerveld,Drenthe
Veenendaal,2048,3901–3907,Veenendaal,Utrecht
Veenhof,,9461–9461,Aa en Hunze,Drenthe
De Veenhoop / De Feanhoop,3277,9215–9215,Smallingerland,Fryslân
De Veenhuis,,3861–3861,Nijkerk,Gelderland
Veenhuizen,,7751–7751,Coevorden,Drenthe
Veenhuizen,,9635–9635,Midden-Groningen,Groningen
Veenhuizen,1651,9341–9341,Noordenveld,Drenthe
Veenhuizen,,9591–9591,Stadskanaal,Groningen
Veenhuizen,,7983–7983,Westerveld,Drenthe
Veenhuizerveld,,3881–3881,Putten,Gelderland
Veeningen,3171,7924–7924,De Wolden,Drenthe
Veenklooster / Feankleaster,3315,9297–9297,Noardeast-Fryslân,Fryslân
Veenoord,1999,7844–7844,Emmen,Drenthe
Veere,2783,4351–4351,Veere,Zeeland
Veerste(r) Veldhuis,,9551–9551,Westerwolde,Groningen
Veessen,2866,8194–8194,Heerde,Gelderland
Vegelinsoord / Vegelinsoard,2513,8467–8467,De Fryske Marren,Fryslân
Veghel,2827,5461–5467,Meierijstad,Noord-Brabant
t Veld,2520,1735–1735,Hollands Kroon,Noord-Holland
Veld,,5944–5944,Venlo,Limburg
Veld-Oostenrijk,,5961–5961,Horst aan de Maas,Limburg
Veldbraak,,5111–5111,Baarle-Nassau,Noord-Brabant
Velddijk,,6627–6627,West Maas en Waal,Gelderland
Velddriel,1631,5334–5334,Maasdriel,Gelderland
De Velde,,8064–8064,Zwartewaterland,Overijssel
Den Velde,1547,7786–7786,Hardenberg,Overijssel
Velden,3142,5941–5941,Venlo,Limburg
Veldhoek,,7261–7261,Bronckhorst,Gelderland
Veldhoven,1384,5501–5509,Veldhoven,Noord-Brabant
Veldhuis,,1678–1678,Medemblik,Noord-Holland
Veldhuizen,,3454–3454,Utrecht,Utrecht
Veldhuizen,,7983–7983,Westerveld,Drenthe
Veldhunten,,7076–7076,Oude IJsselstreek,Gelderland
Veldschuur,,6171–6171,Stein,Limburg
Veldstreek,,9354–9354,Westerkwartier,Groningen
Veldwijk,,7251–7251,Bronckhorst,Gelderland
Veldzicht,,4515–4515,Sluis,Zeeland
Veldzicht,,4507–4507,Sluis,Zeeland
Velp,3198,5363–5363,Grave,Noord-Brabant
Velp,1500,6881–6883,Rheden,Gelderland
Velsen-Noord,3538,1951–1951,Velsen,Noord-Holland
Velsen-Zuid,3536,1981–1981,Velsen,Noord-Holland
Velserbroek,2839,1991–1992,Velsen,Noord-Holland
Velswijk,,7021–7021,Bronckhorst,Gelderland
Veluwe,,6624–6624,Maasdriel,Gelderland
Vemde,,8161–8161,Epe,Gelderland
Ven,,5761–5761,Gemert-Bakel,Noord-Brabant
Ven,,5591–5591,Heeze-Leende,Noord-Brabant
Ven / Het / 't Ven (?),,5461–5461,Meierijstad,Noord-Brabant
Ven / Het / 't Ven (?),,5461–5461,Meierijstad,Noord-Brabant
Ven / Het / 't Ven (?),,5461–5461,Meierijstad,Noord-Brabant
Ven-Zelderheide,2481,6599–6599,Gennep,Limburg
Venbergen,,5556–5556,Valkenswaard,Noord-Brabant
Venebrugge,1565,7792–7792,Hardenberg,Overijssel
Veneburen,,8423–8423,Ooststellingwerf,Fryslân
Veneind,,5512–5512,Eersel,Noord-Brabant
Venekoten / Fenekoaten,,8431–8431,Ooststellingwerf,Fryslân
Venhorst,3139,5428–5428,Boekel,Noord-Brabant
Venhuizen,1512,1606–1606,Drechterland,Noord-Holland
Venlo,1473,5901–5928,Venlo,Limburg
Venne,,6086–6086,Leudal,Limburg
Venray,2335,5801–5804,Venray,Limburg
Venweg,,5131–5131,Alphen-Chaam,Noord-Brabant
Vergelt,,5991–5991,Peel en Maas,Limburg
Verhoven,,5126–5126,Gilze en Rijen,Noord-Brabant
Verloren Hoek,,4841–4841,Breda,Noord-Brabant
